Asset Id;Name;IP Addresses;Modules;OS;Last Logged-In User;Last Inventory;Activity;NetBIOS Name;Sources;Tags
19529489;SPRDAPSGPGRU01.gru.local;172.31.49.97;VM,SCA,PM,CSAM;Microsoft Windows Server 2012 R2 Datacenter 6.3.9600 64-bit N/A Build 9600 UBR 19404;gru.local\adm-thiago.pereira;16 May 2025 02:00PM GMT-0300;Inventory Scan Complete;SPRDAPSGPGRU01;Cloud Agent;Cloud Agent, GRU-GERAL, GRU-CAT-Servidores
193140157;172.31.52.125;172.31.52.125;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193142205;shomadgru02.gru.local;172.31.52.25;VM,CSAM;Windows 2016/2019/10;'-;'-;Scanned;SHOMADGRU02;;AG_GRU_Homologação
203348513;172.31.52.135;172.31.52.135;VM,CSAM;OS Not Identified;'-;'-;Scanned;;;AG_GRU_Homologação
120754529;SHOMAPPTCAGRU01.gru.local;172.31.52.26;VM,SCA,PM,CSAM;Microsoft Windows Server 2008 R2 Enterprise 6.1.7601 64-bit Service Pack 1 Build 7601 UBR 24055;GRU\adm-allan.lira;16 May 2025 05:26AM GMT-0300;Inventory Scan Complete;SHOMAPPTCAGRU01;Cloud Agent;Cloud Agent, GRU-GERAL, GRU-CAT-Servidores
67981913;sprdaprdggru01.gru.local;192.168.0.29;VM,SCA,PM,CSAM;Microsoft Windows Server 2012 R2 Datacenter 6.3.9600 64-bit N/A Build 9600 UBR 19652;gru.local\adm-thiago.pereira;16 May 2025 12:30PM GMT-0300;Inventory Scan Complete;SPRDAPRDGGRU01;Cloud Agent;Cloud Agent, GRU_ACN_3-Maior, GRU-GERAL, GRU_CAT_ACN-INFRACRITICA
101470288;SPRDAPCUPSGRU04;172.31.49.209;VM,SCA,PM,CSAM;Red Hat Enterprise Linux 9.6;sysgru;15 May 2025 10:15PM GMT-0300;Inventory Scan Complete;;Cloud Agent;Cloud Agent, GRU_ACN_5-Catastrofico, GRU-GERAL, GRU_CAT_ACN-CMS
19242872;SPRDCCTVGRU26.gru.local;10.36.57.106,10.36.61.106,10.36.60.106,10.36.57.130,10.36.57.132,10.36.57.131;VM,SCA,PM,CSAM;Microsoft Windows Server 2019 Standard 10.0.17763 64-bit N/A Build 17763 UBR 4252;GRU\svc-sql-cluster;16 May 2025 07:19AM GMT-0300;Inventory Scan Complete;SPRDCCTVGRU26;Cloud Agent;Cloud Agent, GRU_ACN_4-Perigoso, GRU-GERAL, GRU_CAT_ACN-CFTV
20449115;SPRDAPEDIGRU01.gru.local;192.168.0.44,fe80:0:0:0:bdd5:21be:27a2:e80e;VM,SCA,PM,CSAM;Microsoft Windows Server 2016 Standard 10.0.14393 64-bit N/A Build 14393 UBR 7259;GRU\svc-edi;16 May 2025 02:51AM GMT-0300;Inventory Scan Complete;SPRDAPEDIGRU01;Cloud Agent;Cloud Agent, GRU_ACN_1-Insignificante, GRU-GERAL, GRU_CAT_ACN-SAP
111646914;SPRDAPRMAGRU01.GRU.LOCAL;fe80:0:0:0:250:56ff:fe9d:1abc,172.31.50.140;VM,SCA,PM,CSAM;Ubuntu Linux 20.04.1;root;15 May 2025 10:22PM GMT-0300;Inventory Scan Complete;;Cloud Agent;Cloud Agent, GRU-GERAL, GRU-CAT-Servidores
