"Asset Datalist Report","30 Nov 2025 11:03PM GMT-0300","658"
"Delfia","Alameda Tocantins, 350","Barueri","None","06455-020","Brazil"
"Evandro Santiago","defa6es","CSAM customers,All Roles Customers,CSAM customers,All Roles Customers"
"Asset Name","Netbios Name","Mac Address","IPV4 Addresses","IPV6 Addresses","Operating System Category","OS","Operating System Version","Operating System Lifecycle Stage"
"SPRDCFTVGRU16.gru.local","SPRDCFTVGRU215","E8:65:5F:FF:B9:67,68:05:CA:32:65:A9,68:05:CA:32:65:A8,68:05:CA:32:65:AB","172.31.62.215,10.36.60.215,10.36.61.215,172.31.57.215","","Windows / Server","Microsoft Windows Server 2022 Standard 21H2 Build 20348.4171 64-Bit","21H2","GA"
"SHOMAPFSGRU01.gru.local","SHOMAPFSGRU01","00:50:56:A9:70:42","10.36.52.123","","Windows / Server","Microsoft Windows Server 2012 Datacenter 6.2 Build 9200.24523 64-Bit","6.2","EOL/EOS"
"SPRDVCWEBGRU01.gru.local","SPRDVCWEBGRU01","00:50:56:92:99:92","192.168.0.32","","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.6775 64-Bit","1809","EOL"
"SPRDAPMPMGRU01.gru.local","SPRDAPMPMGRU01","00:50:56:9D:54:85,00:50:56:9D:54:85","172.31.50.102","fe80:0:0:0:6073:ea83:289c:89a6","Windows / Server","Microsoft Windows Server 2016 Datacenter 1607 Build 14393.8066 64-Bit","1607","EOL"
"SPRDAPHSEGRU02.gru.local","SPRDAPHSEGRU02","00:50:56:92:97:3F,00:50:56:92:97:3F","192.168.0.71,192.168.0.38","","Windows / Server","Microsoft Windows Server 2016 Datacenter 1607 Build 14393.2273 64-Bit","1607","EOL"
"SPRDAPJPGRU03.gru.local","SPRDAPJPGRU03","00:50:56:A3:37:FD,00:50:56:A3:37:FD","172.31.131.70","fe80:0:0:0:342f:fbf9:47a:218a","Windows / Server","Microsoft Windows Server 2019 Standard 1809 Build 17763.7922 64-Bit","1809","EOL"
"SPRDAPSGPAGRU01.gru.local","SPRDAPSGPAGRU01","00:50:56:A3:6F:B7","172.31.49.214","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.3807 64-Bit","21H2","GA"
"SPRDAPVPXGRU04.gru.local","SPRDAPVPXGRU04","00:50:56:9D:E5:67","172.31.50.178","","Windows / Server","Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.19941 64-Bit","6.3","EOL/EOS"
"SPRDAPRVGRU01.gru.local","SPRDAPRVGRU01","00:50:56:9D:22:33,00:50:56:9D:37:7A,00:50:56:9D:37:7A","172.31.104.11,172.31.50.135","fe80:0:0:0:c18d:1879:2123:8594","Windows / Server","Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.24544","6.1","EOL/EOS"
"SPRDAPLGGRU03.gru.local","SPRDAPLGGRU03","00:50:56:92:15:99","172.31.49.117","","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.7792 64-Bit","1809","EOL"
"SPRDAPGWBIGRU03","SPRDAPGWBIGRU03","00:50:56:B6:88:61","172.31.50.247","","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.7792 64-Bit","1809","EOL"
"SPRDCARDGRU01.gru.local","SPRDCARDGRU01","00:50:56:A3:88:38","172.31.120.241","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.4294 64-Bit","21H2","GA"
"SHOMAPCUPSGRU01","'-","00:50:56:b6:31:30,00:50:56:b6:31:30","172.31.52.132","fe80:0:0:0:250:56ff:feb6:3130","Linux / Server","Red Hat Enterprise Linux 9 9.7","9.7","GA"
"sprdappigru02.gru.local","'-","54:9f:35:71:d9:6f,54:9f:35:71:de:3f,54:9f:35:71:d9:6f,54:9f:35:71:de:42,54:9f:35:71:de:3f,54:9f:35:71:de:42","10.1.1.90,172.31.49.168,172.31.62.15","fe80:0:0:0:569f:35ff:fe71:d96f,fe80:0:0:0:569f:35ff:fe71:de3f,fe80:0:0:0:569f:35ff:fe71:de42","Linux / Server","Red Hat Enterprise Linux Server 6 6.10","6.10","EOL/EOS"
"SPRDADGRU04.gru.local","SPRDADGRU04","00:50:56:92:EE:86","172.31.50.27","","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.7336 64-Bit","1607","EOL"
"SPRDSHPINTGRU04.gru.local","SPRDSHPINTGRU04","00:50:56:9D:09:28","172.31.49.244","","Windows / Server","Microsoft Windows Server 2012 R2 Datacenter 6.3 Build 9600.19920 64-Bit","6.3","EOL/EOS"
"sprdappigru01","'-","54:9f:35:73:10:82,54:9f:35:73:10:7f,54:9f:35:73:0b:af,54:9f:35:73:0b:af,54:9f:35:73:10:7f,54:9f:35:73:10:82","172.31.62.14,10.1.1.89,172.31.49.155","fe80:0:0:0:569f:35ff:fe73:baf,fe80:0:0:0:569f:35ff:fe73:107f,fe80:0:0:0:569f:35ff:fe73:1082","Linux / Server","Red Hat Enterprise Linux Server 6 6.10","6.10","EOL/EOS"
"SHOMCYBERGRU01","'-","00:50:56:b6:df:ac","172.31.52.70","","Linux / Server","Red Hat Enterprise Linux 9 9.6","9.6","EOL"
"SPRDCFTVGRU208","SPRDCFTVGRU208","00:E0:ED:DA:AF:7F,E8:65:5F:FF:BA:87,00:E0:ED:DA:AF:7E,00:E0:ED:DA:AF:7C","10.36.61.208,172.31.62.208,10.36.60.208,172.31.57.208","","Windows / Server","Microsoft Windows Server 2022 Standard 21H2 Build 20348.4171 64-Bit","21H2","GA"
"SPRDAPGEDGRU04.gru.local","SPRDAPGEDGRU04","00:50:56:9D:52:3C","172.31.50.226","","Windows / Server","Microsoft Windows Server 2008 R2 Enterprise 6.1 SP1 Build 7601.24055 64-Bit","6.1","EOL/EOS"
