"Asset Datalist Report","30 Nov 2025 11:03PM GMT-0300","658"
"Delfia","Alameda Tocantins, 350","Barueri","None","06455-020","Brazil"
"Evandro Santiago","defa6es","CSAM customers,All Roles Customers,CSAM customers,All Roles Customers"
"Asset Name","Netbios Name","Mac Address","IPV4 Addresses","IPV6 Addresses","Operating System Category","OS","Operating System Version","Operating System Lifecycle Stage"
"SHOMBDMOOGRU01","'-","00:50:56:8a:be:67,00:50:56:8a:be:67","10.36.52.82","fe80:0:0:0:250:56ff:fe8a:be67","Linux / Unidentified","Canonical Ubuntu Jammy Jellyfish 22.04 LTS 22.04.5 LTS","22.04 LTS","GA"
"SPRDCFTVGRU211.gru.local","SPRDCFTVGRU211","E8:65:5F:FF:BA:AE,68:05:CA:32:65:AD,68:05:CA:32:65:AC,68:05:CA:32:65:AE","172.31.62.211,10.36.60.211,10.36.61.211,172.31.57.211","","Windows / Server","Microsoft Windows Server 2022 Standard 21H2 Build 20348.4171 64-Bit","21H2","GA"
"SPRDBDHSQLGRU14.gru.local","SPRDBDHSQLGRU14","00:50:56:A3:69:4B,00:50:56:A3:11:C7,00:50:56:A3:11:C7,00:50:56:A3:69:4B","172.31.62.104,172.31.49.104","fe80:0:0:0:5bd8:e1e3:e251:e66b,fe80:0:0:0:f0bb:b817:8cb7:11e5","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.3328 64-Bit","21H2","GA"
"SPRDAPBBGRU01.gru.local","SPRDAPBBGRU01","00:50:56:9D:93:E1,00:50:56:9D:93:E1","172.31.50.159","fe80:0:0:0:d45d:5009:c0b1:2462","Windows / Server","Microsoft Windows Server 2016 Datacenter 1607 Build 14393.8422 64-Bit","1607","EOL"
"sprdapecgru04","'-","54:9f:35:71:d9:3b,54:9f:35:71:db:63,54:9f:35:71:d9:3b,54:9f:35:71:d9:3b,54:9f:35:71:db:66,54:9f:35:71:d9:3b,54:9f:35:71:db:63,54:9f:35:71:db:66","172.31.49.195,10.1.1.74,172.31.49.165,172.31.49.194,172.31.62.22","fe80:0:0:0:569f:35ff:fe71:d93b,fe80:0:0:0:569f:35ff:fe71:db63,fe80:0:0:0:569f:35ff:fe71:db66","Linux / Server","Red Hat Enterprise Linux Server 6 6.6","6.6","EOL/EOS"
"SPRDAPFRXGRU03.gru.local","SPRDAPFRXGRU03","00:50:56:A3:2A:58","172.31.57.53","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.4294 64-Bit","21H2","GA"
"SPRDWBBENGRU01.gru.local","SPRDWBBENGRU01","00:50:56:A3:60:73","172.31.50.117","","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.6414 64-Bit","1809","EOL"
"SPRDAPRPGRU12","'-","00:50:56:a3:0f:f9,00:50:56:a3:0f:f9","192.168.0.60","fe80:0:0:0:250:56ff:fea3:ff9","Linux / Unidentified","Canonical Ubuntu Jammy Jellyfish 22.04 LTS 22.04.5 LTS","22.04 LTS","GA"
"SPRDAPLGGRU02.gru.local","SPRDAPLGGRU02","00:50:56:9D:04:93","172.31.49.115","","Windows / Server","Microsoft Windows Server 2016 Datacenter 1607 Build 14393.5356 64-Bit","1607","EOL"
"SPRDCCTVGRU29.gru.local","SPRDCCTVGRU29","74:86:7A:E9:FE:F1,74:86:7A:E9:FE:F1,74:86:7A:E9:FE:F1,74:86:7A:E9:FE:F1,00:0A:F7:2A:39:BE,00:0A:F7:2A:39:BF","10.36.57.122,10.36.57.103,10.36.57.120,10.36.57.121,10.36.60.103,10.36.61.103","","Windows / Server","Microsoft Windows Server 2019 Standard 1809 Build 17763.4499 64-Bit","1809","EOL"
"SHOMAPRIMAGRU01.gru.local","SHOMAPRIMAGRU01","00:50:56:B6:8D:50","172.31.52.238","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.3207 64-Bit","21H2","GA"
"SPRDVCRMQGRU01","SPRDVCRMQGRU01","00:50:56:92:20:37,00:50:56:92:20:37","172.31.49.132","fe80:0:0:0:f1c5:6c1f:3966:e9f4","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.5936 64-Bit","1809","EOL"
"SPRDAPCCGRU01.gru.local","SPRDAPCCGRU01","00:50:56:9D:C2:62,00:50:56:9D:C2:62","172.31.49.25","fe80:0:0:0:4aa:7118:c150:16a5","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.4583 64-Bit","1607","EOL"
"SPRDAPIAMGRU01","'-","00:50:56:a3:fa:b9,00:50:56:a3:fa:b9","172.31.50.103","fe80:0:0:0:250:56ff:fea3:fab9","Linux / Server","Red Hat Enterprise Linux 9 9.7","9.7","GA"
"SPRDSKPPCGRU09","1950237-109","00:50:56:A3:4F:B9,00:50:56:A3:4F:B9,02:50:C9:43:24:2E,02:50:C9:43:24:2E,02:50:C9:43:24:2E","172.31.48.31,26.179.227.231","fe80:0:0:0:c00e:de1f:42d:3e21,fe80:0:0:0:2d5f:3d91:8948:9e3c,fdfd:0:0:0:0:0:1ab3:e3e7","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.6529 64-Bit","1607","EOL"
"SPRDAPDGFGRU02.gru.local","SPRDAPDGFGRU02","00:50:56:92:E9:F8","192.168.0.46","","Windows / Server","Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.21620 64-Bit","6.3","EOL/EOS"
"sprdapsshgru01.gru.local","'-","54:9f:35:73:0b:61,54:9f:35:73:0c:38,54:9f:35:73:0b:61,54:9f:35:73:0b:64,54:9f:35:73:0c:35","172.31.49.176","fe80:0:0:0:569f:35ff:fe73:b61,fe80:0:0:0:569f:35ff:fe73:c38,fe80:0:0:0:569f:35ff:fe73:b64,fe80:0:0:0:569f:35ff:fe73:c35","Linux / Server","Red Hat Enterprise Linux 9 9.6","9.6","EOL"
"SPRDAPCMSNGX02","'-","00:50:56:a3:f4:aa","192.168.0.52","","Linux / Server","Red Hat Enterprise Linux 9 9.7","9.7","GA"
"SPRDAPVPXGRU01.gru.local","SPRDAPVPXGRU01","00:50:56:9D:D8:FF,02:73:33:42:F5:3E,00:50:56:9D:C3:22,00:50:56:9D:D8:FF,02:73:33:42:F5:3E","172.31.50.36,169.254.2.194,12.12.12.1,172.31.50.157","fe80:0:0:0:ec2f:71b3:fd5f:d879","Windows / Server","Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.19941 64-Bit","6.3","EOL/EOS"
"SPRDCFTVGRU05","SPRDCFTVGRU204","00:E0:ED:DA:B0:6A,00:E0:ED:DA:B0:6B,E8:65:5F:FF:93:BF,00:E0:ED:DA:B0:68","10.36.60.204,10.36.61.204,172.31.62.204,172.31.57.204","","Windows / Server","Microsoft Windows Server 2022 Standard 21H2 Build 20348.4171 64-Bit","21H2","GA"
"SPRDAPMELGRU01.gru.local","SPRDAPMELGRU01","00:50:56:B6:13:2E","172.31.50.133","","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.3165 64-Bit","1809","EOL"
"SHOMAPESBGRU07.gru.local","SHOMAPESBGRU07","00:50:56:B6:A6:C0","172.31.52.230","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.4294 64-Bit","21H2","GA"
"SPRDAPBMSGRU02.gru.local","SPRDAPBMSGRU02","00:50:56:9D:05:49,00:50:56:9D:05:49","172.31.49.253","fe80:0:0:0:4d45:1a71:d7c4:b025","Windows / Server","Microsoft Windows Server 2016 Datacenter 1607 Build 14393.6252 64-Bit","1607","EOL"
"sprdsapnasgru01","'-","00:50:56:92:07:4e,00:50:56:92:07:4e","172.31.49.202","fe80:0:0:0:250:56ff:fe92:74e","Linux / Server","Red Hat Enterprise Linux Server 6 6.10","6.10","EOL/EOS"
"ABC-QA-DC1.adfs-qa.borders.sita.aero","ABC-QA-DC1","00:50:56:B6:27:21","172.31.45.21","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.4052 64-Bit","21H2","GA"
"sprdapecgru01","'-","54:9f:35:73:0d:a3,54:9f:35:73:0b:7b,54:9f:35:73:0d:a6,54:9f:35:73:0b:7b,54:9f:35:73:0d:a6","172.31.49.152,172.31.62.19","fe80:0:0:0:569f:35ff:fe73:da3,fe80:0:0:0:569f:35ff:fe73:b7b,fe80:0:0:0:569f:35ff:fe73:da6","Linux / Server","Red Hat Enterprise Linux Server 6 6.10","6.10","EOL/EOS"
"SPRDAPBENGRU01.gru.local","SPRDAPBENGRU01","00:50:56:A3:3A:9E","172.31.50.72","","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.6659 64-Bit","1809","EOL"
"SPRDCFTVGRU01.gru.local","SPRDCFTVGRU200","E8:65:5F:FF:BA:0E,6C:B3:11:5E:A5:14,6C:B3:11:5E:A5:16,E8:65:5F:FF:BA:0B,E8:65:5F:FF:BA:0B,E8:65:5F:FF:BA:0B,6C:B3:11:5E:A5:10","172.31.62.200,10.36.60.200,10.36.61.200,169.254.1.2,172.31.57.200","fde1:53ba:e9a0:de11:9eb3:30db:cfae:d29,fe80:0:0:0:4c:f8b1:e31f:9eda","Windows / Server","Microsoft Windows Server 2022 Standard 21H2 Build 20348.4171 64-Bit","21H2","GA"
"SENHASEGURA_ARBRITO","'-","00:50:56:92:1d:56,02:42:07:84:4b:40,00:50:56:92:1d:56","172.17.0.1,172.31.46.24","fe80:0:0:0:e724:c925:2674:9f4f","Linux / Server","The CentOS Project CentOS 7 7.9 2009","7.9","EOL/EOS"
"TEST-AMS-WEB01.gru.local","TEST-AMS-WEB01","00:50:56:8A:5E:34","10.36.52.68","","Windows / Server","Microsoft Windows Server 2019 Standard 1809 Build 17763.8027 64-Bit","1809","EOL"
"SPRDAPEGTGRU03.gru.local","SPRDAPEGTGRU03","00:50:56:A3:AC:85","172.31.49.62","","Windows / Server","Microsoft Windows Server 2012 Datacenter 6.2 Build 9200.23255 32-Bit","6.2","EOL/EOS"
"SPRDVCRPTGRU01.gru.local","SPRDVCRPTGRU01","00:50:56:92:3F:08,00:50:56:92:3F:08","172.31.49.133","fe80:0:0:0:217c:6161:a9f8:110d","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.6775 64-Bit","1809","EOL"
"SPRDAPRPGRU14","'-","00:50:56:a3:bc:9e,00:50:56:a3:bc:9e","192.168.0.26","fe80:0:0:0:250:56ff:fea3:bc9e","Linux / Server","Red Hat Enterprise Linux 9 9.7","9.7","GA"
"SPRDAPRADGRU01.gru.local","SPRDAPRADGRU01","00:50:56:92:10:CD","172.31.50.126","","Windows / Server","Microsoft Windows Server 2016 Datacenter 1607 Build 14393.7876 64-Bit","1607","EOL"
"SPRDAPRPGRU15","'-","00:50:56:a3:e2:dc,00:50:56:a3:e2:dc","192.168.0.25","fe80:0:0:0:250:56ff:fea3:e2dc","Linux / Server","Red Hat Enterprise Linux 9 9.7","9.7","GA"
"SPRDAPBMSGRUA1.gru.local","SPRDAPBMSGRUA","00:50:56:B6:76:93","172.31.49.93","","Windows / Server","Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.24544","6.1","EOL/EOS"
"SPRDAPBCCGRU02.gru.local","SPRDAPBCCGRU02","00:50:56:92:92:6E","172.31.49.136","","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.3770","1809","EOL"
"SFTP1-GRU.gru.local","SFTP1-GRU","00:50:56:92:99:D6","192.168.0.34","","Windows / Server","Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.24055 64-Bit","6.1","EOL/EOS"
"SPRDAPPSGRU03.gru.local","SPRDAPPSGRU03","00:50:56:9D:BD:87","172.31.50.129","","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.7606 64-Bit","1607","EOL"
"SHOMAPEVDSGRU01.gru.local","SHOMAPEVDSGRU01","00:50:56:B6:9D:E4","172.31.52.125","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.4294 64-Bit","21H2","GA"
"SPRDAPIAMGRU04","'-","00:50:56:a3:e5:60,00:50:56:a3:e5:60","172.31.50.106","fe80:0:0:0:250:56ff:fea3:e560","Linux / Server","Red Hat Enterprise Linux 9 9.7","9.7","GA"
"SHOMAPCNWGRU01.gru.local","SHOMAPCNWGRU01","00:50:56:8A:A1:B1","10.36.52.80","","Windows / Server","Microsoft Windows Server 2019 Standard 1809 Build 17763.8027 64-Bit","1809","EOL"
"SPRDAPCOVGRU01.gru.local","SPRDAPCOVGRU01","02:9B:49:56:1D:45,00:50:56:B6:55:20,00:50:56:B6:E1:0C,00:50:56:B6:55:20,02:9B:49:56:1D:45","172.31.49.225,10.1.1.21,172.31.49.224,169.254.2.93","fe80:0:0:0:dc92:acf1:6ebb:b0a","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.4974 64-Bit","1809","EOL"
"SPRDSKPPCGRU07","1950237-107","00:50:56:A3:7B:9A,02:50:28:BE:E4:2D,02:50:28:BE:E4:2D,02:50:28:BE:E4:2D,00:50:56:A3:7B:9A","26.6.23.84,172.31.48.29","fe80:0:0:0:ed9f:c89f:e9b7:318a,fdfd:0:0:0:0:0:1a06:1754,fe80:0:0:0:9c4c:b6e9:a8b3:a4fb","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.7606 64-Bit","1607","EOL"
"SPRDBDDACGRU01","'-","00:50:56:9d:3e:10,00:50:56:9d:3e:10","192.168.40.134","fe80:0:0:0:250:56ff:fe9d:3e10","Linux / Server","The CentOS Project CentOS 6 6.7","6.7","EOL/EOS"
"SPRDAPDATGRU01.gru.local","SPRDAPDATGRU01","00:50:56:9D:68:55","172.31.50.221","","Windows / Server","Microsoft Windows Server 2008 R2 Enterprise 6.1 SP1 Build 7601.24055 64-Bit","6.1","EOL/EOS"
"SHOMAPBCBPGRU02.gru.local","SHOMAPBCBPGRU02","00:50:56:B6:68:0B","172.31.52.150","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.4294 64-Bit","21H2","GA"
"SHOMAPPTCAGRU01.gru.local","SHOMAPPTCAGRU01","00:50:56:B6:93:4B","172.31.52.26","","Windows / Server","Microsoft Windows Server 2008 R2 Enterprise 6.1 SP1 Build 7601.24055 64-Bit","6.1","EOL/EOS"
"SPRDADGRU03.gru.local","SPRDADGRU03","00:50:56:92:9B:9D,00:50:56:92:9B:9D","172.31.50.23,172.31.50.22","","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.8524 64-Bit","1607","EOL"
"SPRDAPEGTGRU01.gru.local","SPRDAPEGTGRU01","00:50:56:A3:D1:8E,00:50:56:A3:74:5F","172.31.49.60,172.31.62.50","","Windows / Server","Microsoft Windows Server 2012 Datacenter 6.2 Build 9200.23255 32-Bit","6.2","EOL/EOS"
"SPRDVCCHOGRU01","'-","92:fb:2e:18:27:74,02:42:9c:67:39:1f,02:42:84:09:f8:a4,02:42:84:09:f8:a4,00:50:56:92:98:41,00:50:56:92:98:41,be:46:ea:98:44:98,de:ba:bf:8d:6c:77","172.17.0.1,172.18.0.1,172.31.6.25","fe80:0:0:0:90fb:2eff:fe18:2774,fe80:0:0:0:42:84ff:fe09:f8a4,fe80:0:0:0:250:56ff:fe92:9841,fe80:0:0:0:bc46:eaff:fe98:4498,fe80:0:0:0:dcba:bfff:fe8d:6c77","Linux / Server","SUSE Linux Enterprise Server 12 12 SP5","12","EOL"
"SPRDCFTVGRU216.gru.local","SPRDCFTVGRU216","E8:65:5F:FF:96:17,68:05:CA:32:65:B5,68:05:CA:32:65:B4,68:05:CA:32:65:B7","172.31.62.216,10.36.60.216,10.36.61.216,172.31.57.216","","Windows / Server","Microsoft Windows Server 2022 Standard 21H2 Build 20348.4171 64-Bit","21H2","GA"
"SPRDBDITSMGRU01","'-","00:50:56:a3:b3:e5,00:50:56:a3:b3:e5","172.31.49.174","fe80:0:0:0:250:56ff:fea3:b3e5","Linux / Unidentified","Canonical Ubuntu Noble Numbat 24.04 LTS 24.04.3 LTS","24.04 LTS","GA"
"SHOMAPIAMGRU03.gru.local","SHOMAPIAMGRU03","00:50:56:95:0C:FD","10.36.52.9","","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.8594 64-Bit","1607","EOL"
"SPRDAPFSCCGRU01.gru.local","SPRDAPFSCCGRU01","00:50:56:9D:7E:EF,00:50:56:9D:7E:EF","172.31.49.237","fe80:0:0:0:5486:4109:1eee:d243","Windows / Server","Microsoft Windows Server 2008 R2 Enterprise 6.1 SP1 Build 7601.24533","6.1","EOL/EOS"
"PRDSQLSC020.gru.local","PRDSQLSC020","00:50:56:A3:BA:54,00:50:56:B6:CA:70","172.31.62.66,172.31.50.66","","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.7792 64-Bit","1809","EOL"
"SPRDBDHSQLGRU13.gru.local","SPRDBDHSQLGRU13","00:50:56:A3:47:5D,00:50:56:A3:96:69","172.31.62.54,172.31.49.180","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.3453 64-Bit","21H2","GA"
"SPRDAPIAMGRU11","SPRDSQL021","00:50:56:92:DA:07,00:50:56:92:DA:07,00:50:56:92:D5:B1","172.31.50.217,172.31.62.101","fe80:0:0:0:9605:c608:c93b:18c5","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.5329 64-Bit","1809","EOL"
"SPRDAPESTGRU01.gru.local","SPRDAPESTGRU01","00:50:56:B6:C7:B6","172.31.49.33","","Windows / Server","Microsoft Windows Server 2016 Datacenter 1607 Build 14393.8066 64-Bit","1607","EOL"
"SPRDAPCMSGRU07","'-","b8:ca:3a:33:8e:dc,b8:ca:3a:33:8e:df,52:54:00:06:09:82,b8:ca:3a:33:8e:df","172.31.49.99,172.31.49.126,192.168.122.1,172.31.62.33","","Linux / Server","Red Hat Enterprise Linux 8 8.10","8.10","GA"
"1950237-DC1.sd1950237.carpark","1950237-DC1","00:50:56:A3:79:1C,02:50:05:8F:B7:65,02:50:05:8F:B7:65,02:50:05:8F:B7:65","172.31.48.21,26.215.51.28","fdfd:0:0:0:0:0:1ad7:331c,fe80:0:0:0:705a:87b1:5f8a:91f6","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.6529 64-Bit","1607","EOL"
"SPRDAPFRXGRU01.gru.local","SPRDAPFRXGRU01","00:50:56:A3:7B:F4","172.31.57.51","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.4294 64-Bit","21H2","GA"
"SPRDZBGRU05","'-","00:50:56:92:f2:1d,00:50:56:92:f2:1d","172.16.253.88","fe80:0:0:0:250:56ff:fe92:f21d","Linux / Unidentified","Canonical Ubuntu Noble Numbat 24.04 LTS 24.04.3 LTS","24.04 LTS","GA"
"SPRDSKPPCGRU11","1950237-111","02:50:C6:60:BB:DD,02:50:C6:60:BB:DD,02:50:C6:60:BB:DD,00:50:56:A3:C3:91,00:50:56:A3:C3:91","26.32.247.171,172.31.48.33","fdfd:0:0:0:0:0:1a20:f7ab,fe80:0:0:0:c405:83c6:f7c7:cc3,fe80:0:0:0:30d7:cb5c:cd37:6466","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.6529 64-Bit","1607","EOL"
"SPRDAPPAVGRU01.gru.local","SPRDAPPAVGRU01","00:50:56:9D:64:84","172.31.49.231","","Windows / Server","Microsoft Windows Server 2012 R2 Datacenter 6.3 Build 9600.19404 64-Bit","6.3","EOL/EOS"
"SPRDAPDCLGRU01.gru.local","SPRDAPDCLGRU01","00:50:56:9D:18:6F,00:50:56:9D:18:6F","172.31.49.187","fe80:0:0:0:44c5:e483:f405:22ba","Windows / Server","Microsoft Windows Server 2012 R2 Datacenter 6.3 Build 9600.19817 64-Bit","6.3","EOL/EOS"
"SPRDAPCMSGRU04.gru.local","SPRDAPCMSGRU04","B8:CA:3A:35:1A:1C,B8:CA:3A:35:1A:1C,B8:CA:3A:35:1A:1C","172.31.62.31,172.31.49.89","fe80:0:0:0:baca:3aff:fe35:1a1c","Linux / Server","Red Hat Enterprise Linux Server 6 6.10","6.10","EOL/EOS"
"SPRDAPPCGRU01","SPRDAPGBOXGRU01","00:50:56:A3:C6:37","172.31.49.58","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.4405 64-Bit","21H2","GA"
"SHOMAPIAMGRU02.gru.local","SHOMAPIAMGRU02","00:50:56:8A:EB:42","10.36.52.8","","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.8027 64-Bit","1809","EOL"
"SPRDCCTVGRU25.gru.local","SPRDCCTVGRU25","00:0A:F7:2A:22:66,B8:CA:3A:F7:04:A1,B8:CA:3A:F7:04:A1,B8:CA:3A:F7:04:A1,B8:CA:3A:F7:04:A4,B8:CA:3A:F7:04:A4,00:0A:F7:2A:22:66","10.36.57.105,10.36.57.126,10.36.57.127,10.36.60.105,10.36.61.105","fe80:0:0:0:2132:883a:ce9b:ec63,fe80:0:0:0:84e:6720:603d:5083","Windows / Server","Microsoft Windows Server 2019 Standard 1809 Build 17763.4645 64-Bit","1809","EOL"
"SHOMAPSCOGRU01.gru.local","SHOMAPSCOGRU01","00:50:56:8A:A1:3C","10.36.52.175","","Windows / Server","Microsoft Windows Server 2019 Standard 1809 Build 17763.7792 64-Bit","1809","EOL"
"SPRDAPNBUGRU02","'-","f8:db:88:7c:49:a9,f8:db:88:7c:49:a9","172.31.62.161","fe80:0:0:0:fadb:88ff:fe7c:49a9","Linux / Server","Red Hat Enterprise Linux 9 9.6","9.6","EOL"
"SPRDSHPINTGRU03.gru.local","SPRDSHPINTGRU03","00:50:56:9D:6A:A9","172.31.49.243","","Windows / Server","Microsoft Windows Server 2012 R2 Datacenter 6.3 Build 9600.19920 64-Bit","6.3","EOL/EOS"
"SPRDAPFRXGRU02.gru.local","SPRDAPFRXGRU02","00:50:56:A3:D5:AD","172.31.57.52","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.4294 64-Bit","21H2","GA"
"SPRDSKPPCGRU14","1950237-114","00:50:56:A3:E1:24,02:50:A3:CC:99:71,02:50:A3:CC:99:71,02:50:A3:CC:99:71,00:50:56:A3:E1:24","26.106.221.241,172.31.48.36","fe80:0:0:0:65e1:c946:12a8:ae45,fdfd:0:0:0:0:0:1a6a:ddf1,fe80:0:0:0:9160:8c63:2b17:9920","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.7606 64-Bit","1607","EOL"
"SPRDAPATKGRU01.gru.local","SPRDAPATKGRU01","00:50:56:9D:F4:CB","172.31.49.9","","Windows / Server","Microsoft Windows Server 2012 R2 Datacenter 6.3 Build 9600.21620 64-Bit","6.3","EOL/EOS"
"SPRDAPPTCAGRU01.gru.local","SPRDAPPTCAGRU01","00:50:56:A3:39:A1","172.31.50.78","","Windows / Server","Microsoft Windows Server 2008 R2 Enterprise 6.1 SP1 Build 7601.24055 64-Bit","6.1","EOL/EOS"
"sprdapbigru02","'-","54:9f:35:71:d9:7c,54:9f:35:71:de:f6,54:9f:35:71:d9:7c,54:9f:35:71:de:f9,54:9f:35:71:de:f6,54:9f:35:71:de:f9","10.1.1.130,172.31.49.169,172.31.62.13","fe80:0:0:0:569f:35ff:fe71:d97c,fe80:0:0:0:569f:35ff:fe71:def6,fe80:0:0:0:569f:35ff:fe71:def9","Linux / Server","Red Hat Enterprise Linux Server 6 6.10","6.10","EOL/EOS"
"SPRDAPADSGRU01.gru.local","SPRDAPADSGRU01","00:50:56:A3:D1:78","192.168.0.95","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.4297 64-Bit","21H2","GA"
"SPRDAPIAMGRU03","'-","00:50:56:a3:2c:72,00:50:56:a3:2c:72","172.31.50.105","fe80:0:0:0:250:56ff:fea3:2c72","Linux / Server","Red Hat Enterprise Linux 9 9.7","9.7","GA"
"sprdapsmgru01","'-","54:9f:35:73:0b:a2,54:9f:35:73:0f:c8,54:9f:35:73:0b:a2,54:9f:35:73:0f:cb,54:9f:35:73:0f:c8,54:9f:35:73:0f:cb","10.1.1.81,172.31.49.146,172.31.62.25","fe80:0:0:0:569f:35ff:fe73:ba2,fe80:0:0:0:569f:35ff:fe73:fc8,fe80:0:0:0:569f:35ff:fe73:fcb","Linux / Server","Red Hat Enterprise Linux Server 6 6.10","6.10","EOL/EOS"
"SHOMAPCCGRU001.gru.local","SHOMAPCCGRU001","00:50:56:8A:68:76","10.36.52.42","","Windows / Server","Microsoft Windows Server 2019 Standard 1809 Build 17763.7792 64-Bit","1809","EOL"
"SPRDAPCMSW02","'-","00:50:56:a3:d6:20,00:50:56:a3:d6:20","192.168.0.63","fe80:0:0:0:250:56ff:fea3:d620","Linux / Server","Red Hat Enterprise Linux 9 9.7","9.7","GA"
"SPRDAPWEBGRU02.gru.local","SPRDAPWEBGRU02","00:50:56:9D:1B:17","172.31.49.228","","Windows / Server","Microsoft Windows Server 2008 R2 Enterprise 6.1 SP1 Build 7601.24055 64-Bit","6.1","EOL/EOS"
"SPRDAPEDIGRU01.gru.local","SPRDAPEDIGRU01","00:50:56:92:8F:80,00:50:56:92:8F:80","192.168.0.44","fe80:0:0:0:bdd5:21be:27a2:e80e","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.7259 64-Bit","1607","EOL"
"GRU-DEL-B4CQHB4.gru.local","GRU-DEL-B4CQHB4","AC:B4:80:DF:A7:10,AC:B4:80:DF:A7:10","10.32.73.21","fe80:0:0:0:795e:5cbb:6956:66a8","Windows / Client","Microsoft Windows 11 Pro 24H2 Build 26100.3476 64-Bit","24H2","GA"
"SPRDAPRMIGRU01.gru.local","SPRDAPRMIGRU01","00:50:56:B6:56:B7","192.168.0.69","","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.3887 64-Bit","1809","EOL"
"SPRDAPCADGRU01.gru.local","SPRDAPCADGRU01","00:50:56:88:4B:21,00:50:56:88:4B:21","172.31.50.210","fe80:0:0:0:28f9:76e9:ae47:20f5","Windows / Server","Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.24055 64-Bit","6.1","EOL/EOS"
"shomapihsgru01.gru.local","'-","00:50:56:95:0a:ec,52:54:00:44:11:2a","10.36.52.48,192.168.122.1","","Linux / Server","Red Hat Enterprise Linux 8 8.10","8.10","GA"
"shombdoragru01.gru.local","'-","b8:ca:3a:33:8f:37,b8:ca:3a:33:8f:3a,b8:ca:3a:33:8f:3a,b8:ca:3a:33:8f:37,b8:ca:3a:33:8f:37,b8:ca:3a:33:8f:37,b8:ca:3a:33:8f:3a","172.31.52.63,10.1.1.9,169.254.27.150,172.31.52.60,172.31.52.65","fe80:0:0:0:baca:3aff:fe33:8f37,fe80:0:0:0:baca:3aff:fe33:8f3a","Linux / Server","Red Hat Enterprise Linux Server 6 6.10","6.10","EOL/EOS"
"sprdapmisp01","'-","00:50:56:a3:b5:89,00:50:56:a3:b5:89","192.168.0.93","fe80:0:0:0:250:56ff:fea3:b589","Linux / Unidentified","Canonical Ubuntu Jammy Jellyfish 22.04 LTS 22.04.5 LTS","22.04 LTS","GA"
"SPRDTSQGRU01.gru.local","SPRDTSQGRU01","00:50:56:B6:37:2E,00:50:56:B6:37:2E","172.31.50.173","fe80:0:0:0:91ab:a329:ef07:6dbc","Windows / Server","Microsoft Windows Server 2022 Standard 21H2 Build 20348.2031 64-Bit","21H2","GA"
"SPRDAPDHCPGRU01.gru.local","SPRDAPDHCPGRU01","00:50:56:92:B4:43,00:50:56:92:B4:43","172.31.49.121","fe80:0:0:0:b174:644c:2175:a55b","Windows / Server","Microsoft Windows Server 2012 R2 Datacenter 6.3 Build 9600.21620 64-Bit","6.3","EOL/EOS"
